RowID,ObjectID,Object_Number,Sort_Number,Dept,Maker,Alpha_Sort,Title,Date,Begin_Date,End_Date,Medium,Dimensions,Credit_Line,Primary_Image_Filename,GeoRowID,GeoObjectID,Geography_Type,Continent,Subcontinent,Country
68,24961,y1954-73,1954   73y,EPS,"Follower of the Master of the Dangolsheimer Madonna, South German",Master of the Dangolsheimer Madonna,Virgin and Child,late 15th_early 16th century,1470,1529,Wood with polychromy and gilding,"h. 86.5 cm., w. 55.4 cm., d. 31.7 cm. (34 1/16 x 21 13/16 x 12 1/2 in.)","Museum purchase, gift of Carl Otto von Kienbusch, Class of 1906, for the Carl Otto von Kienbusch Jr., Memorial Collection",y1954-73_FRN.jpg,72,24961,Place made,Europe,,South Germany
69,24455,y1954-123,1954  123y,EPS,"Auguste Rodin, French, 1840_1917",Rodin Auguste,Danaid,ca. 1885_90,1885,1890,Marble,"h. 23.0 cm. (9 1/16 in.)
base: 40.0 x 26.0 cm. (15 3/4 x 10 1/4 in.)","Bequest of Sam A. Lewisohn, Class of 1904",y1954-123_FRN.jpg,73,24455,,,,
70,27252,y1955-3249,1955 3249y,American,"Asher Brown Durand, American, 1796_1886","Durand, Asher Brown",Landscape,1859,1859,1859,Oil on canvas,"77 x 61.5 cm (30 5/16 x 24 3/16 in.)
frame: 99 _ 84 _ 8.5 cm (39 _ 33 1/16 _ 3 3/8 in.)","Gift of J. O. MacIntosh, Class of 1902",y1955-3249.jpg,74,27252,,,,
71,27763,y1956-124,1956  124y,EPS,Italian,Italian,Dish with Scene of Caesar Receiving Head of Pompey,1536,1536,1536,Maiolica,5 _ diam. 47 cm (1 15/16 _ 18 1/2 in.),"Gift of Stanley Mortimer, Class of 1919",y1956-124.jpg,75,27763,,,,
72,28079,y1957-19,1957   19y,P&D,Byzantine,Byzantine,Gospel book: the Evangelist Luke,ca. 1380,1375,1385,Clothbound with leather spine; ink cream laid paper,29.5 x 20.5 x 5.2 cm. (11 5/8 x 8 1/16 x 2 1/16 in.),"Museum purchase, Caroline G. Mather Fund",y1957-19_1.jpg,76,28079,Place made,,,Turkey
73,9790,x1957-116,1957  116x,P&D,"Winslow Homer, American, 1836_1910","Homer, Winslow",Eastern Point Light,1880,1880,1880,Watercolor over graphite on cream wove paper,24.6 x 34.1 cm. (9 11/16 x 13 7/16 in.),"Gift of Alastair B. Martin, Class of 1938",x1957-116_REC.jpg,77,9790,,,,
74,9793,x1957-118,1957  118x,P&D,"Thomas Eakins, American, 1844_1916","Eakins, Thomas",Seventy Years Ago,1877,1877,1877,Watercolor and gouache on cream wove paper with graphite border,39.8 x 27.4 cm. (15 11/16 x 10 13/16 in.),Gift of Mrs. Frank Jewett Mather Jr.,STU00693.jpg,78,9793,,,,
75,28094,y1958-1,1958    1y,ABI,Roman; Antonine,Roman; Antonine,Portrait of the Emperor Marcus Aurelius,ca. 170_180,170,180,Carrara marble,"h. 34.1 cm., w. 27.9 cm., d. (with restored nose) 26.8 cm. (13 7/16 x 11 x 10 9/16 in.) 
face: h. 19.5 cm. (7 11/16 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection Fund",y1958-1_FRN_SL.jpg,79,28094,,,,
76,9654,x1958-61,1958   61x,P&D,"George Wesley Bellows, American, 1882_1925","Bellows, George Wesley",The Murder of Edith Cavell,1918,1918,1918,Black chalk and black crayon over charcoal on cream wove paper,"53.5 x 68.5 cm. (21 1/16 x 26 15/16 in.)
frame: 73 _ 87 _ 2.5 cm (28 3/4 _ 34 1/4 _ 1 in.)","Museum purchase, Laura P. Hall Memorial Fund",x1958-61.jpg,80,9654,,,,
77,28330,y1958-66,1958   66y,American,"Ammi Phillips, American, 1788_1866","Phillips, Ammi",Henrietta Dorr,ca. 1814,1809,1819,Oil on canvas,"56 x 45 cm. (22 1/16 x 17 11/16 in.)
frame: 64.7 _ 54 _ 5 cm (25 1/2 _ 21 1/4 _ 1 15/16 in.)","Gift of Edward Duff Balken, Class of 1897",y1958-66.jpg,81,28330,,,,
78,28154,y1958-100,1958  100y,American,"Sarah E. Harvey, American, 1834_1924","Harvey, Sarah E.","Winsted, Connecticut",ca. 1877,1872,1882,Oil on canvas,"45.5 x 71.1 cm (17 15/16 x 28 in.)
frame: 55.9 _ 81.9 cm (22 _ 32 1/4 in.)","Gift of Edward Duff Balken, Class of 1897",y1958-100.jpg,82,28154,,,,
79,27895,y1959-54,1959   54y,EPS,"Auguste Rodin, French, 1840_1917",Rodin Auguste,The Age of Bronze,1876,1876,1876,Bronze,115 _ 29.5 _ 29.5 cm (45 1/4 _ 11 5/8 _ 11 5/8 in.),"Museum purchase, gift of Walter N. Rothschild, Class of 1913, in memory of his mother, Mrs. Felix M. Warburg",y1959-54_OBL2.jpg,83,27895,Place made,Europe,,France
80,28405,y1959-121,1959  121y,Asian,"Japanese; Heian period, 794_1185",Japanese; Heian period,Sutra from Jing?ji Temple,ca. 1150,1145,1155,Handscroll; gold and silver on indigo paper,26.0 x 885.0 cm. (10 1/4 x 348 7/16 in.),"Museum purchase, Caroline G. Mather Fund",y1959-121.jpg,84,28405,Place made,Asia,,Japan
81,28649,y1961-17,1961   17y,EPS,"Frederic, Lord Leighton, British, 1830_1896","Leighton, Frederic, Lord",After Vespers,1871,1871,1871,Oil on canvas,"111.5 x 71.5 cm. (43 7/8 x 28 1/8 in.)
frame: 161.9 x 122.6 x 11.3 cm. (63 3/4 x 48 1/4 x 4 3/8 in.)",Museum purchase,y1961-17.jpg,85,28649,,,,
82,28869,y1961-47,1961   47y,Asian,"Indian; Pala dynasty, 10th_12th century",Indian; Pala dynasty,Stele of Vishnu and attendants,10th_11th century,900,1099,Black schist,"h. 79.0 cm., w. 44.5 cm., d. 16.0 cm. (31 1/8 x 17 1/2 x 6 5/16 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1961-47_FRN.jpg,86,28869,Place made,Asia,,India
83,28956,y1962-58,1962   58y,EPS,"Domenico di Bartolo, Italian, ca. 1400_before 1445","Bartolo, Domenico di",Madonna and Child,ca. 1436,1420,1447,Tempera on wood panel,"96 x 66 cm. (37 13/16 x 26 in.)
frame: 132.7 x 84.5 x 12.7 cm. (52 1/4 x 33 1/4 x 5 in.)","Bequest of Dan Fellows Platt, Class of 1895",y1962-58.jpg,87,28956,Place made,Europe,,Italy
84,28732,y1962-64,1962   64y,EPS,"attributed to Joan Rosato, Spanish, active 1447_1482",Rosato Joan,Mystical Crucifixion: the Four Doctors of the Church and Saint Paul contemplating the Crucifixion,ca. 1445,1447,1482,Tempera and gold on wood panel,"51.7 x 44 cm. (20 3/8 x 17 5/16 in.)
frame: 58.5 _ 52.3 _ 8 cm (23 1/16 _ 20 9/16 _ 3 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895",y1962-64.jpg,88,28732,,,,
85,28768,y1962-75,1962   75y,EPS,"after Donatello, Italian, 1386/87_1466",Donatello,Dead Christ Supported by Two Angels,15th century,1400,1499,Polychrome on papier-m?ch_,"45 x 52 cm. (17 11/16 x 20 1/2 in.)
frame: 66 _ 82.5 _ 12 cm (26 _ 32 1/2 _ 4 3/4 in.)","Bequest of Dan Fellows Platt, Class of 1895",y1962-75_A.jpg,89,28768,,,,
86,28905,y1963-1,1963    1y,EPS,"Fra Angelico, Italian, ca. 1395/1400_1455","Angelico, Fra",The Penitent Saint Jerome,1419_20,1419,1420,Tempera on wood panel,"56.5 x 41.2 cm. (22 1/4 x 16 1/4 in.)
frame: 56.8 x 41.3 x 5.7 cm. (22 3/8 x 16 1/4 x 2 1/4 in.)",Bequest of Frank Jewett Mather Jr.,y1963-1.jpg,90,28905,,,,
87,28760,y1963-2,1963    2y,EPS,"Francesco Traini, Italian, active 1321_1345","Traini, Francesco",Madonna and Child with Saint Anne,1340_45,1340,1345,Tempera on wood panel transferred to pressed wood panel,"84.9 x 56.0 cm. (33 7/16 x 22 1/16 in.)
frame: 101.3 x 76.5 x 14.6 cm. (39 7/8 x 30 1/8 x 5 3/4 in.)",Bequest of Frank Jewett Mather Jr.,y1963-2_SL.jpg,91,28760,,,,
88,29134,y1963-38,1963   38y,African,Edo artist,Edo,Bracelet,18th_19th century,1700,1899,Brass,"h. 13.5 cm., diam. 9.0 cm. (5 5/16 x 3 9/16 in.)","Gift of J. Lionberger Davis, Class of 1900",y1963-38_1.jpg,92,29134,Place made,Africa,West Africa,Nigeria
89,54924,y1963-39 a-k,1963   39ya    k,Asian,"Chinese; Qing dynasty, 1644_1912; Zhu Da, 1626_1705",Chinese; Qing dynasty; Zhu Da,Flowers and Insects,ca. 1683,1678,1688,Album of eleven leaves; ink on paper,Leaves: 36.6 x 68 cm. (14 7/16 x 26 3/4 in.),Gift of Mrs. George Rowley in memory of Professor George Rowley,y1963-39-A.jpg,93,54924,Place made,Asia,,China
90,29106,y1963-39 i,1963   39yi,Asian,"Chinese; Qing dynasty, 1644_1912; Zhu Da, 1626_1705",Chinese; Qing dynasty; Zhu Da,Spray of Hibiscus (Spray of Flowering Shrub),ca. 1681,1676,1686,Album leaf; ink on paper,"Painting: 30.2 x 30.2 cm. (11 7/8 x 11 7/8 in.)
Leaf: 36.6 x 68 cm. (14 7/16 x 26 3/4 in.)
Mat: 37.2 x 35.8 cm. (14 5/8 x 14 1/8 in.)",Gift of Mrs. George Rowley in memory of Professor George Rowley,y1963-39-I.jpg,94,29106,Place made,Asia,,China
91,29435,y1964-50,1964   50y,Asian,"Japanese; Edo period, 1600_1868; Kan'ei era, 1624_1644",Japanese; Edo period; Kan'ei period,Messenger Delivering a Letter (Fumitsukai byobu-e),,1624,1644,"Two-fold screen; ink, colors, and gold on paper",143.5 x 154.5 cm. (56 1/2 x 60 13/16 in.),"Museum purchase, gift of William R. McAlpin, Class of 1926",y1964-50.jpg,95,29435,Place made,Asia,,Japan
92,29317,y1964-162,1964  162y,MoCo,"Kay Sage, American, 1898_1963","Sage, Kay",I Saw Three Cities,1944,1944,1944,Oil on canvas,"92 x 71 cm. (36 1/4 x 27 15/16 in.)
frame: 94.5 x 74.3 x 4.9 cm. (37 3/16 x 29 1/4 x 1 15/16 in.)",Gift of the Estate of Kay Sage Tanguy,y1964-162.jpg,96,29317,,,,
93,29339,y1964-180,1964  180y,American,"Junius  Brutus Stearns, American, 1810_1885","Stearns, Junius Brutus","The Old, Old Story",1882,1882,1882,Oil on canvas,"sheet (sight): 61 x 51 cm. (24 x 20 1/16 in.)
frame: 72.4 _ 62.2 _ 4.3 cm (28 1/2 _ 24 1/2 _ 1 11/16 in.)","Gift of Carl Otto von Kienbusch, Class of 1906, for the Carl Otto von Kienbusch Jr., Memorial Collection",INV46340.jpg,97,29339,,,,
94,29121,y1964-181,1964  181y,American,"John Singleton Copley, American, 1738_1815","Copley, John Singleton",Elkanah Watson,1782,1782,1782,Oil on canvas,"149 x 121 cm. (58 11/16 x 47 5/8 in.)
frame: 177 _ 150 _ 7.2 cm (69 11/16 _ 59 1/16 _ 2 13/16 in.)",Gift of the estate of Josephine Thomas Swann,y1964-181.jpg,98,29121,,,,
95,29713,y1965-3,1965    3y,Asian,"Chinese; Western Zhou dynasty, 11th century_771 B.C.",Chinese; Western Zhou,Pouring vessel with dragon-head lid (guang),late 11th century B.C.,-1099,-900,Bronze,"h. 31.3 cm., w. 16.0 cm., l. 36.0 cm., 5.3 g (12 5/16 x 6 5/16 x 14 3/16 in., 11.6 lb.)","Museum purchase from the C. D. Carter Collection, gift of the Arthur M. Sackler Foundation",y1965-3_1.jpg,99,29713,Place made,Asia,,China
96,29783,y1965-35,1965   35y,Asian,"Chinese; Eastern Zhou dynasty, 770_256 B.C.; Warring States period, ca. 470_221 B.C.",Chinese; Eastern Zhou; Warring States period,Bell (bo zhong),late 5th century B.C.,-429,-370,Bronze,"h. to top of hanger: 25.8 cm. (10 3/16 in.) 
h. to head: 19.2 cm. (7 9/16 in.) 
rim: 17 x 12.6 cm. (6 11/16 x 4 15/16 in.)","Museum purchase from the C. D. Carter Collection, gift of the Arthur M. Sackler Foundation",y1965-35.jpg,100,29783,Place made,Asia,,China
97,29456,y1965-197,1965  197y,AAA,Late Classic; Maya,Classic; Maya,Chak Chel (Great Rainbow),A.D. 600_800,600,800,Ceramic with traces of Maya blue pigment,"h. 26.0 cm., w. 13.0 cm., d. 13.6 cm. (10 1/4 x 5 1/8 x 5 3/8 in.)","Gift of J. Lionberger Davis, Class of 1900",y1965-197_OBL2.jpg,101,29456,Place excavated,North America,Mesoamerica,Mexico
98,29430,y1965-205,1965  205y,ABI,Italo-Geometric; Etruscan,Geometric; Etruscan,Stamnoid jar,ca. 700_680 B.C.,-700,-680,Ceramic,"h. 21.6 cm., w. 27.1 cm., diam. 23.2 cm. (8 1/2 x 10 11/16 x 9 1/8 in.)
diam. rim 14.6 cm. (5 3/4 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1965-205_2.jpg,102,29430,,,,
99,29551,y1965-216,1965  216y,ABI,Roman,Roman,Mosaic pavement: drinking contest of Herakles and Dionysos,early 3rd century A.D.,200,229,Stone and glass,"h. 526.0 cm., w. 527.0 cm. (207 1/16 x 207 1/2 in.)
figural scene: h. 229.2 cm., w. 295.5 cm. (90 1/4 x 116 5/16 in.)",Gift of the Committee for the Excavation of Antioch to Princeton University,y1965-216.jpg,103,29551,Place excavated,,,Turkey
100,30115,y1966-3,1966    3y,Asian,"Chinese; Liao dynasty, 907_1125",Chinese; Liao dynasty,Bottle,late 10th century,970,999,Ding ware type; oyster-white glaze over grayish-white porcelain,"h. 26.1 cm., diam. 16.0 cm. (10 1/4 x 6 5/16 in.)",Gift of the American Research Center in Egypt through the courtesy of the Department of Antiquities of the United Arab Republic,y1966-3.jpg,104,30115,Place made,Asia,,China
101,30003,y1966-26,1966   26y,Asian,"Japanese; Heian period, 794_1185",Japanese; Heian period,Bonten ???,ca. late 11th century,1070,1099,Wood with traces of red pigment,"h. 103.0 cm., w. approx. 39.5 cm., d. approx. 19.0 cm. (40 9/16 x 15 9/16 x 7 1/2 in.)","Museum purchase, gift of J. Lionberger Davis, Class of 1900, and William R. McAlpin, Class of 1926",Y1966-26_FRN.jpg,105,30003,Place made,Asia,,Japan
102,29888,y1966-273,1966  273y,American,American,American,Sofa,ca. 1790_1810,1790,1810,Mahogany with crimson damask upholstery,101 x 184 cm. (39 3/4 x 72 7/16 in.),Gift of Mr. and Mrs. Landon K. Thorne for the Boudinot Collection,y1966-273_OBL.jpg,106,29888,Place made,,,United States
103,30357,y1967-17 a-d,1967   17ya    d,Asian,"Chinese; Qing dynasty, 1644_1912; Shitao ??, 1642_1707",Chinese; Qing dynasty; Shitao,"Luo-Fu Mountains (Luo-Fu shan shuhua ce ??????)
",ca. 1701_05,1701,1705,Album of 4 leaves (kai); ink and color on paper,,Gift of the Arthur M. Sackler Foundation,y1967-17-A1.jpg,107,30357,Place made,Asia,,China
104,61754,y1967-17 b,1967   17yb,Asian,"Chinese; Qing dynasty, 1644_1912; Shitao ??, 1642_1707",Chinese; Qing dynasty; Shitao,"Three Peaks of the Upper Realm (Shangjie san feng ????), from Luo-Fu Mountains (Luo-Fu shan shuhua ce ??????)
",ca. 1701_05,1701,1705,Album leaf; ink and color on paper,"Painting: 28.5 x 20.1 cm. (11 1/4 x 7 15/16 in.)
Calligraphy: 28.5 x 20.1 cm. (11 1/4 x 7 15/16 in.)
Leaf: 38.6 x 48.8 cm. (15 3/16 x 19 3/16 in.)
Mat: 40.5 x 50.7 cm. (15 15/16 x 19 15/16 in.)",Gift of the Arthur M. Sackler Foundation,y1967-17-B1.jpg,108,61754,Place made,Asia,,China
105,30620,y1968-117,1968  117y,EPS,"Gerrit van Honthorst, Dutch, 1592_1656","Honthorst, Gerrit van",Artemisia,ca. 1635,1630,1640,Oil on canvas,"170.0 x 147.5 cm. (66 15/16 x 58 1/16 in.)
frame: 193.0 x 172.7 x 7.6 cm. (76 x 68 x 3 in.)","Museum purchase, gift of George L. Craig, Jr., Class of 1921, and Mrs. Craig",y1968-117.jpg,109,30620,,,,
106,30812,y1968-125,1968  125y,Asian,"Japanese; Edo period, 1600_1868; Maruyama Okyo ????, 1733_1795",Japanese; Edo period; Maruyama Okyo,The Hozu River (????),1772,1772,1772,"Six-fold screen; ink, light color, and gold on paper",156.0 x 346.0 x 1.8 cm. (61 7/16 x 136 1/4 x 11/16 in.),"Museum purchase, gift of William R. McAlpin, Class of 1926",y1968-125.jpg,110,30812,Place made,Asia,,Japan
107,31412,y1969-15,1969   15y,AAA,Middle Classic; Maya,Classic; Maya,Tripod vessel with plumed jaguars in stucco,A.D. 300_600,300,600,Ceramic with polychrome stucco,"h. 18.5 cm., diam. 21.5 cm. (7 5/16 x 8 7/16 in.)",Gift of the Friends of The Art Museum in honor of Gillett G. Griffin,y1969-15.jpg,111,31412,Place made,North America,Mesoamerica,probably Guatemala
108,31536,y1969-93,1969   93y,American,"Thomas Doughty, American, 1793_1856","Doughty, Thomas",View toward the Hudson River,ca. 1839,1834,1844,Oil on canvas,"54 x 44 cm. (21 1/4 x 17 5/16 in.)
frame: 73 _ 63 _ 6 cm (28 3/4 _ 24 13/16 _ 2 3/8 in.)",Gift of Mrs. Heermance in memory of Dean Radcliffe Heermance,y1969-93.jpg,112,31536,,,,
109,11023,x1969-310,1969  310x,P&D,"Rembrandt van Rijn, Dutch, 1606_1669",Rembrandt van Rijn,Christ Crucified between the Two Thieves (The Three Crosses),1653_55,1653,1655,"Drypoint and burin, fourth of five states","plate: 38.5 x 45.0 cm. (15 3/16 x 17 11/16 in.) 
sheet: 43.4 x 48.4 cm. (17 1/16 x 19 1/16 in.)","Gift of David H. McAlpin, Class of 1920, and Mrs. McAlpin in memory of Professor Clifton R. Hall",x1969-310.jpg,113,11023,,,,
110,31509,y1970-12,1970   12y,EPS,"Charles Swagers, French, 1792_after 1849",Swagers Charles,"The Tomb of Maria Christina of Austria, by Antonio Canova",1820s,1820,1829,Oil on canvas,"73 x 61.5 cm. (28 3/4 x 24 3/16 in.)
frame: 90.2 _ 79.7 _ 7.3 cm (35 1/2 _ 31 3/8 _ 2 7/8 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1970-12.jpg,114,31509,,,,
111,31420,y1970-111,1970  111y,AAA,Late Postclassic; Aztec,Postclassic; Aztec,Mask,A.D. 1400_1520,1400,1520,"Wood with traces of gesso, gold leaf, and hematite","h. 20.2 cm., w. 20.5 cm., d. 11.5 cm. (7 15/16 x 8 1/16 x 4 1/2 in.)",Gift of Mrs. Gerard B. Lambert,y1970-111_a.jpg,115,31420,Place made,North America,Mesoamerica,Mexico
112,31803,y1971-35,1971   35y,ABI,Late Roman,Roman,Plaque with Hercules and the Hydra,4th century A.D.,300,400,"Bronze inlaid with copper, silver, and brass","h. 18.8 cm., w. 9.0 cm. (7 3/8 x 3 9/16 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection Fund",y1971-35.jpg,116,31803,Place made,,,
113,31852,y1972-15,1972   15y,EPS,"Claude Monet, French, 1840_1926","Monet, Claude",Water Lilies and Japanese Bridge,1899,1899,1899,Oil on canvas,"90.5 x 89.7 cm. (35 5/8 x 35 5/16 in.)
frame: 129.5 _ 132.1 _ 15.3 cm (51 _ 52 _ 6 in.)","From the Collection of William Church Osborn, Class of 1883, trustee of Princeton University (1914-1951), president of the Metropolitan Museum of Art (1941-1947); given by his family",y1972-15.jpg,117,31852,,,,
114,31671,y1972-16,1972   16y,Asian,"Chinese; Yuan dynasty, 1260_1368",Chinese; Yuan dynasty,Lohan as an ascetic,,1260,1368,Gilded lacquer with traces of white and red pigments,"h. 28 cm., w. 31 cm., d. 32 cm. (11 x 12 3/16 x 12 5/8 in.)","Museum purchase, gift of David Steadman, Graduate School Class of 1974, and Mrs. Steadman, in honor of Robert P. Griffing Jr., Graduate School Class of 1940",y1972-16_FRN2.jpg,118,31671,Place made,Asia,,China
115,31949,y1972-25,1972   25y,American,"Charles Rohlfs, American, 1853_1936",Rohlfs Charles,Tall Back Chair,ca. 1898-99,1893,1903,Oak,137 _ 44.5 _ 41.3 cm (53 15/16 _ 17 1/2 _ 16 1/4 in.),"Gift of Roland Rohlfs, son of Charles Rohlfs",y1972-25_FRN.jpg,119,31949,,,,
116,31750,y1972-34,1972   34y,African,Hongwe artist,Hongwe,Reliquary guardian figure,late 19th_20th century,1875,1925,"Wood, copper alloy, and bone","h. 58.5 cm., w. 27.5 cm., d. 8.2 cm. (23 1/16 x 10 13/16 x 3 1/4 in.)","Museum purchase, Henry Strater, Class of 1919, Fund and an anonymous donor",y1972-34_FRN.jpg,120,31750,Place made,Africa,Central Africa,Gabon
117,31589,y1972-37,1972   37y,AAA,Late Postclassic; Eastern Nahua,Postclassic; Eastern Nahua,Gold labret in form of a curassow,ca. A.D. 1450,1300,1521,Cast gold,"h. 5.9 cm., w. 3.6 cm., d. 2.3 cm. (2 5/16 x 1 7/16 x 7/8 in.)","Museum purchase, gift of the Hans A. Widenmann, Class of 1918, and Dorothy Widenmann Foundation",y1972-37.jpg,121,31589,Place made,North America,Mesoamerica,Mexico
118,31504,y1972-38,1972   38y,AAA,Late Formative; Xochipala,Formative; Xochipala,Seated adult,400 B.C._A.D. 200,-400,200,Red-brown micaceous ceramic,"h. 13.5 cm., w. 11.3 cm., d. 11.7 cm. (5 5/16 x 4 7/16 x 4 5/8 in.)","Gift of Gillett G. Griffin in honor of David W. Steadman, Graduate School Class of 1969",INV016695.jpg,122,31504,Place made,North America,Mesoamerica,Mexico
119,54926,"y1972-38, 39",1972   38y   39,AAA,Late Formative; Xochipala,Formative; Xochipala,Seated adult and youth,400 B.C. _ A.D. 200,-400,200,"Red-brown micaceous ceramic
","h. 13.5 cm. (5 5/16 in.)
h. 11.0 cm. (4 5/16 in.)","Gift of Gillett G. Griffin in honor of David W. Steadman, Graduate School Class of 1969",y1972-38-39.jpg,123,54926,Place made,North America,Mesoamerica,Mexico
120,31450,y1972-39,1972   39y,AAA,Late Formative; Xochipala,Formative; Xochipala,Seated youth,400 B.C._A.D. 200,-400,200,Red-brown micaceous clay,"h. 11.0 cm., w. 15.4 cm., d. 12.1 cm. (4 5/16 x 6 1/16 x 4 3/4 in.)","Gift of Gillett G. Griffin in honor of David W. Steadman, Graduate School Class of 1969",INV016698.jpg,124,31450,Place made,North America,Mesoamerica,Mexico
121,12553,x1973-29,1973   29x,Photo,"Lewis W. Hine, American, 1874_1940","Hine, Lewis W","Adolescent Girl, a Spinner, in a Carolina Cotton Mill",1908,1908,1908,Gelatin silver print,"image: 19.2 x 24.2 cm. (7 9/16 x 9 1/2 in.)
sheet: 20.3 x 25.3 cm. (8 x 9 15/16 in.)",Anonymous gift,x1973-29.jpg,125,12553,,,,
122,31985,y1974-4,1974    4y,ABI,"Egyptian; Middle Kingdom (12th Dynasty, probably reign of Senwosret I)",Egyptian; Middle Kingdom,Fragment of a funerary relief with an offering scene,ca. 1971_ca. 1926 B.C.,-1971,-1926,Painted limestone,"h. 26.0 cm., w. 28.0 cm., d. 12.0 cm. (10 1/4 x 11 x 4 3/4 in.)","Museum purchase and gift of Dan Fellows Platt, Class of 1895, by exchange",y1974-4.jpg,126,31985,,,,
123,32015,y1974-84,1974   84y,EPS,"Sir Edward Burne-Jones, British, 1833_1898; Made by Morris & Co., est. 1875","Burne-Jones, Edward; Morris & Co.",Saint Cecilia,ca. 1900,1895,1905,Stained and painted glass,"213.5 x 75.5 cm. (84 1/16 x 29 3/4 in.)
frame: 235 _ 88.7 _ 4 cm (92 1/2 _ 34 15/16 _ 1 9/16 in.)","Museum purchase, Surdna Fund",y1974-84.jpg,127,32015,,,,
124,32162,y1975-1,1975    1y,AAA,Early Horizon; Chav?n (Late Cupisnique style),Early Horizon; Chav?n,Stirrup-spout vessel in form of bowl with food,500_200 B.C.,-500,-200,Dark gray burnished ceramic,"h. 20.8 cm., diam. 12.8 cm. (8 3/16 x 5 1/16 in.)",Gift of Cedric Marks,y1975-1.jpg,128,32162,Place made,South America,Andes,Peru
125,32190,y1975-11,1975   11y,EPS,"Joachim Wtewael, Dutch, 1566 - 1638","Wtewael, Joachim",Judith and the Head of Holofernes,ca. 1595_1600,1595,1600,Oil on canvas,"109.5 x 80 cm. (43 1/8 x 31 1/2 in.)
frame: 128.5 _ 99 _ 6 cm (50 9/16 _ 39 _ 2 3/8 in.)","Museum purchase, gift of George L. Craig Jr., Class of 1921, and Mrs. Craig",y1975-11.jpg,129,32190,,,,
126,31872,y1975-12,1975   12y,EPS,"Anthony van Dyck, Flemish, 1599_1641","van Dyck, Anthony",The Mocking of Christ,1628_30,1628,1630,Oil on canvas,"112 x 93 cm. (44 1/8 x 36 5/8 in.)
frame: 134.6 x 116.2 x 8.9 cm. (53 x 45 3/4 x 3 1/2 in.)","Museum purchase, gift of the Charles Ulrick and Josephine Bay Foundation, Inc., through Colonel C. Michael Paul",y1975-12.jpg,130,31872,,,,
127,32221,y1975-17,1975   17y,AAA,Late Classic; Maya ('Codex' style),Classic; Maya,The Princeton Vase,A.D. 670_750,670,750,"Ceramic with red, cream, and black slip, with remnants of painted stucco","h. 21.5 cm., diam. 16.6 cm. (8 7/16 x 6 9/16 in.)","Museum purchase, gift of the Hans A. Widenmann, Class of 1918, and Dorothy Widenmann Foundation",y1975-17.jpg,131,32221,Place made,North America,Mesoamerica,Guatemala
128,32255,y1975-35,1975   35y,Asian,"Chinese; Yuan dynasty, 1260_1368; Ni Zan ??, 1301_1374",Chinese; Yuan dynasty; Ni Zan,Twin Trees by the South Bank (An nan shuang shu tu ?????),1353,1353,1353,Hanging scroll; ink on paper,"Painting: 56.0 x 27.0 cm. (22 1/16 x 10 5/8 in.)
Colophons: 19.0 x 27.0 cm. (7 1/2 x 10 5/8 in.)
Mount: 203.8 x 45.8 cm. (80 1/4 x 18 1/16 in.)","Gift of Wen C. Fong, Class of 1951 and Graduate School Class of 1958, and Constance Tang Fong in honor of Mrs. Edward L. Elliott",y1975-35.jpg,132,32255,Place made,Asia,,China
129,13024,x1975-104,1975  104x,Photo,"Francis Frith, British, 1822_1898","Frith, Francis","The Court of Shishak, Karnak",1857,1857,1857,Albumen print,"22.2 x 16.2 cm. (8 3/4 x 6 3/8 in.)
mount: 44 x 32 cm. (17 5/16 x 12 5/8 in.)","Museum purchase, David H. McAlpin, Class of 1920, Fund",x1975-104.jpg,133,13024,,,,
130,32269,y1976-21,1976   21y,AAA,Middle Formative; Olmec style,Formative; Olmec,Kneeling lord with incised toad on his head,900_500 B.C.,-900,-500,Stone with red pigment,"h. 17.6 cm., w. 10.8 cm., d. 10.1 cm. (6 15/16 x 4 1/4 x 4 in.)","Museum purchase, gift of Mrs. Gerard B. Lambert by exchange",y1976-21.jpg,134,32269,Place made,North America,Mesoamerica,Mexico
131,32156,y1976-24,1976   24y,ABI,Etruscan,Etruscan,Statuette of a winged goddess,ca. 450_425 B.C.,-450,-425,Cast bronze,"h. 16.5 cm., w. 5.2 cm., d. 4.4 cm. (6 1/2 x 2 1/16 x 1 3/4 in.)","Museum purchase, gift of Alastair B. Martin, Class of 1938",y1976-24.jpg,135,32156,Place made,,,Italy
132,31507,y1976-25,1976   25y,EPS,"Nosadella (Giovanni Francesco Bezzi), Italian, active ca.1549_1571",Nosadella Bezzi Giovanni Francesco,The Annunciation,1560s,1560,1569,Oil on wood panel,"107.3 x 78.8 cm. (42 1/4 x 31 in.)
frame: 132.7 x 104.5 x 8.6 cm. (52 1/4 x 41 1/8 x 3 3/8 in.)","Museum purchase, Fowler McCormick, Class of 1921, Fund",y1976-25_SL.jpg,136,31507,,,,
